"lang","file","core_extended","speaker",wd_ID,wd,"start","end","ref","tx","ft","mb_ID","mb","doreco-mb-algn","ps","gl","ph_ID","ph"
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000028,"<<pr>cɨp>",12.802,14.090,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000031","cɨp,","****","","to.go","p000100","<<pr>cɨp>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000029,"canʔə̃h",14.090,14.390,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000032 m000033","can ʔə̃h","**** ****","","SOURCE DEM","p000101 p000102 p000103 p000104 p000105 p000106","c a n ? @~ h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000030,"ʔoʔ",14.390,14.550,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000034","ʔoʔ","****","","3S","p000107 p000108 p000109","? o ?","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000031,"yɨy",14.550,14.730,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000035","yɨy","****","","to.carry","p000110 p000111 p000112","j 1 j","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000032,"kəritəh",14.730,15.213,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000036","kritəh","****","","car","p000113 p000114 p000115 p000116 p000117 p000118 p000119","k @ r i t @ h","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000033,"ton",15.213,15.470,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000037","ton,","****","","DEM","p000120 p000121 p000122","t o n","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000034,"<<id>ton>",15.470,15.680,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000038","ton,","****","","DEM","p000123","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000035,"<<id>ton>",15.680,15.920,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000039","ton,","****","","DEM","p000124","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000036,"<<id>ton>",15.920,16.130,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000040","ton,","****","","DEM","p000125","<<id>ton>","",""
"jeha1242","doreco_jeha1242_Blan_route_retell_DP_25Feb12",core,"DP",w000037,"<<id>ton>",16.130,16.340,"0006_DoReCo_doreco_jeha1242_Blan_route_retell_DP_25Feb12","ʔoʔ stat kritəh, lpas cn=ʔon yapɛ̃h cɨp, can=ʔə̃h ʔoʔ yɨy kritəh ton, ton, ton, ton, ton, ton, ton, ton, ton, ton","he started the car, then we left, from here he drove the car, there, there, there, there, there, there, there, there, there, there","m000041","ton,","****","","DEM","p000126","<<id>ton>","",""
